8,2,6,Kenshilo (醒銳孔),[問卦] 買房在汐止PK中壢，孰勝？,Sun Oct 24 07:48:30 2021
26,36,-10,chekove (tit for tat),[新聞] 民進黨：罷免案少數否決多數 國民黨應適可而止,Sat Oct 23 22:31:08 2021
2,4,-2,bryantkk (正義必得伸張),Re,Sun Oct 24 02:16:09 2021
3,3,0,archie403 (李奧納多的老公^Q^),[問卦] 一句話解釋元宇宙,Sun Oct 24 00:41:23 2021
11,0,11,tzujan (無),[問卦] 八卦和政黑鄉民出來見面會怎樣,Sun Oct 24 07:57:05 2021
13,1,12,oylq2000 (oylq2000),[問卦] 有沒有臺大公館商圈店家讓人懷念的八卦？,Sun Oct 24 08:36:34 2021
5,0,5,GTOyoko5566 (雞頭洋子),[問卦] 哪一種大叔才是讓女人最受不了的？,Sun Oct 24 06:56:06 2021
6,1,5,ironmen (環團就是綠黨的狗),Re,Sun Oct 24 03:02:04 2021
3,8,-5,voohong (SE Asia Fat Nerd),[問卦] 當同事一年了還是想幹她正常嗎,Sun Oct 24 05:34:30 2021
9,1,8,Borges (波波波波),[問卦] 怎麼分辨「沒有輸」和「輸不起」?,Sun Oct 24 07:55:44 2021
9,0,9,MgcnVanish (手品は最高だ!!),[問卦] 一直戴著帽子的八卦?,Sat Oct 23 22:42:28 2021
1,1,0,qsxwdc (Moo),[問卦] 打到跛腳，輸了隊友說我沒認真打，你會,Sun Oct 24 00:36:58 2021
8,3,5,remora (remora),[問卦] 有沒有高雄三民區的八卦？,Sat Oct 23 23:22:53 2021
15,5,10,GTOyoko5566 (雞頭洋子),[問卦] 為什麼打女人的男性都有女人陪伴,Sun Oct 24 02:18:06 2021
36,5,31,b1b2b3b4 (lemon),[新聞] 阿姨讓你不用努力！富婆倒貼鮮肉房仲　被,Sun Oct 24 00:14:09 2021
9,1,8,zzyyxx77 (討噓大師77),[問卦] 唐可可要出專輯了？,Sat Oct 23 22:55:02 2021
3,4,-1,Emerson158 (紅豆 X 八嘎 X 烏魯賽),"[問卦] 維他露P,是什麼口味的汽水阿?",Sun Oct 24 01:37:23 2021
6,1,5,a828203 (),[新聞] 美示警 氣候變遷 將危及全球國安,Sun Oct 24 08:33:17 2021
77,4,73,HowLeeHi (處處留心皆正妹),Re,Sat Oct 23 22:41:10 2021
0,1,-1,wvookevp (ushiromiya),[問卦] 啊來~來來你來 腳步展乎開,Sun Oct 24 08:37:35 2021
16,3,13,WAXNSIM (【本人所發必為廢文】),[問卦] 台灣人的電影創意484不如韓國？,Sat Oct 23 23:47:14 2021
2,2,0,xxox (O-O),[問卦] 基隆-台北的台鐵讓JR東日本來經營有救?,Sun Oct 24 00:15:11 2021
47,127,-80,deathdecay (VOID),[新聞] 刪Q幕後｜蔡英文未下軍令　吃敗關鍵！,Sat Oct 23 23:07:15 2021
3,1,2,b1b2b3b4 (lemon),[問卦] 魷魚遊戲的男主角如果讓成龍演?,Sun Oct 24 00:31:24 2021
9,3,6,voohong (SE Asia Fat Nerd),[問卦] 為啥很多人相信女生被幹就會變乖了,Sun Oct 24 06:15:24 2021
16,3,13,lababear (優質廢文製造機),[問卦] 塔綠班還在腦補沒有輸是不是神經錯亂,Sun Oct 24 00:25:24 2021
2,1,1,dennis86131 (handsome),[問卦] 毛衣在哪？,Sun Oct 24 00:55:29 2021
12,3,9,kuijun228 (Daoko小粉絲),[問卦] 不准外縣市笑台中人,Sat Oct 23 23:13:32 2021
10,3,7,blessbless (123),[問卦] 麥當勞APP抽到最好的獎勵是什麼,Sun Oct 24 00:28:27 2021
34,18,16,klpp26549871 (),[問卦] 台灣人是不是不太適合民主?,Sun Oct 24 00:31:55 2021
2,0,2,sushi11 (偶像可以亂摸嗎peko),Re,Sun Oct 24 07:15:17 2021
3,0,3,yamahabbs (老ㄟ),[問卦] 跳舞機比賽得獎可以寫進履歷嗎,Sun Oct 24 08:50:15 2021
0,1,-1,freedomwing5 (我唯一知的就是我不知),[問卦] 怎樣都不會輸是不是很爽,Sat Oct 23 23:31:45 2021
2,1,1,poopoo50000 (普羅米效斯),[問卦] 就學到工作，對自己標準一直降低,Sun Oct 24 01:02:29 2021
80,4,76,yaya (喔耶比),[新聞]彰化綠鬣蜥為患！獵人出手「2週抓243隻」,Sat Oct 23 23:06:22 2021
11,0,11,"ihfreud (旅行,是後天的混血)",[問卦] 早安！你今天複誦四個堅持了嗎？,Sun Oct 24 07:48:18 2021
13,2,11,Xenogeous (非洲大陸),[問卦] 說7萬票罷免11萬票的是不是邏輯死去？,Sun Oct 24 08:34:11 2021
16,0,16,fucKMT5566 (廢文水準和車輪一樣棒棒),[問卦] 7533967這通電話是不是輸不起?,Sun Oct 24 00:00:03 2021
6,0,6,louiswei1986 (禪寶寶),[問卦] 如果今天是另外一個結果,Sat Oct 23 23:36:28 2021
10,2,8,jimmysunny01 (但願長醉不願醒),[問卦] 愛用= =這個符號是不是高機率是肥宅？,Sat Oct 23 23:55:14 2021
13,6,7,mwaja (瑪吉雅米),Re,Sun Oct 24 02:35:07 2021
4,2,2,cmelo1515 (瓜農),[問卦] 認真說，低能卡的app體驗484超過ptt了？,Sun Oct 24 08:47:38 2021
3,2,1,yoyodiy (廢文心得文大師),[問卦] 被員工投票開除可以拿非自願離職證明嗎?,Sun Oct 24 00:33:40 2021
